HourUTC;HourDK;MunicipalityNo;SolarMWh;OffshoreWindLt100MW_MWh;OffshoreWindGe100MW_MWh;OnshoreWindMWh;ThermalPowerMWh
2020-12-31 23:00;2021-01-01 00:00;550;0,000000;0,000000;0,000000;3,362810;0,306443
2020-12-31 23:00;2021-01-01 00:00;561;0,000000;0,000000;0,000000;0,135759;168,383942
2020-12-31 23:00;2021-01-01 00:00;563;0,000000;0,000000;0,000000;0,000000;
2020-12-31 23:00;2021-01-01 00:00;573;0,000000;0,000000;0,000000;0,131378;2,691210
2020-12-31 23:00;2021-01-01 00:00;575;0,000000;0,000000;0,000000;0,124315;0,000171
2020-12-31 23:00;2021-01-01 00:00;580;0,000000;0,000000;0,000000;3,054474;0,622417
2020-12-31 23:00;2021-01-01 00:00;607;0,000000;0,000000;0,000000;0,002500;32,001080
2020-12-31 23:00;2021-01-01 00:00;615;0,000000;0,000000;0,000000;0,371374;12,881300
2020-12-31 23:00;2021-01-01 00:00;621;0,000000;0,000000;0,000000;0,464360;6,299342
2020-12-31 23:00;2021-01-01 00:00;630;0,000000;0,000000;0,000000;0,089979;1,283266
2020-12-31 23:00;2021-01-01 00:00;657;0,000000;0,000000;0,000000;0,017067;37,177315
2020-12-31 23:00;2021-01-01 00:00;661;0,000000;0,000000;0,000000;0,610750;18,826000
2020-12-31 23:00;2021-01-01 00:00;665;0,000000;1,262497;0,000000;4,064390;10,670000
2020-12-31 23:00;2021-01-01 00:00;671;0,000000;0,000000;0,000000;0,480000;0,000000
2020-12-31 23:00;2021-01-01 00:00;706;0,000000;0,000000;0,000000;0,184975;0,708503
2020-12-31 23:00;2021-01-01 00:00;707;0,000000;0,000000;86,133430;0,058078;0,040740
2020-12-31 23:00;2021-01-01 00:00;710;0,000000;0,000000;0,000000;0,005000;1,500460
2020-12-31 23:00;2021-01-01 00:00;727;0,000000;0,182600;0,000000;0,026015;0,000000
2020-12-31 23:00;2021-01-01 00:00;730;0,000000;0,000000;0,000000;1,503170;29,040014
2020-12-31 23:00;2021-01-01 00:00;740;0,000000;0,000000;0,000000;0,002485;92,142944
2020-12-31 23:00;2021-01-01 00:00;741;0,000000;0,000000;0,000000;1,693872;0,000000
2020-12-31 23:00;2021-01-01 00:00;746;0,000000;0,000000;0,000000;0,000000;2,108600
2020-12-31 23:00;2021-01-01 00:00;751;0,000000;0,000000;0,000000;0,000000;287,332245
2020-12-31 23:00;2021-01-01 00:00;756;0,000000;0,000000;0,000000;0,078000;2,356888
2020-12-31 23:00;2021-01-01 00:00;760;0,000000;0,000000;0,000000;2,064500;24,607309
2020-12-31 23:00;2021-01-01 00:00;766;0,000000;0,000000;0,000000;0,007203;0,000300
2020-12-31 23:00;2021-01-01 00:00;773;0,000000;0,000000;0,000000;0,094040;3,323200
2020-12-31 23:00;2021-01-01 00:00;779;0,000000;0,000000;0,000000;0,000002;9,622539
2020-12-31 23:00;2021-01-01 00:00;787;0,000000;0,000000;0,000000;1,798490;2,817360
2020-12-31 23:00;2021-01-01 00:00;791;0,000000;0,000000;0,000000;1,524982;60,541878
2020-12-31 23:00;2021-01-01 00:00;810;0,000000;0,000000;0,000000;0,131435;1,540800
2020-12-31 23:00;2021-01-01 00:00;813;0,000000;0,000000;0,000000;0,016940;2,529320
